element,isotope,abundance
Lu,Lu175,0.59738
Lu,Lu176,1.00000
Hf,Hf174,0.00871
Hf,Hf177,1.00000
Hf,Hf178,1.46710
Hf,Hf179,0.73250
Hf,Hf180,1.88651
Yb,Yb168,0.00126
Yb,Yb170,0.03023
Yb,Yb171,0.14216
Yb,Yb172,0.21754
Yb,Yb173,0.16098
Yb,Yb174,0.31896
Yb,Yb176,0.12887
Rb,Rb85,2.59265
Rb,Rb87,1.00000
Sr,Sr84,0.056549
Sr,Sr86,1.00000
Sr,Sr88,8.37861
K,K39,0.932581
K,K40,0.000117
K,K41,0.067302
Ca,Ca42,0.310257
Ca,Ca43,0.064762
Ca,Ca44,1.000000
Ca,Ca46,0.002061
Ca,Ca48,0.089741
U,U238,137.818
U,U235,1.000
Re,Re185,0.59738
Re,Re187,1.00000
Os,Os184,0.00149
Os,Os186,0.11976
Os,Os188,1.00000
Os,Os189,1.21922
Os,Os190,1.98280
Os,Os192,3.07939