method,name,mineral,x,sx,y,sy,reference
U-Pb,Plesovice,zircon,18.6195,0.0037,0.05332,0.19,Horstwood et al. (2016)
U-Pb,91500,zircon,5.57351,0.00195,0.074989,0.075,Horstwood et al. (2016)
U-Pb,GJ1,zircon,10.2169,0.00358,0.060171,0.08,Horstwood et al. (2016)
U-Pb,MudTank,zircon,8.31878,0.00582,0.06402,1,Horstwood et al. (2016)
U-Pb,Stern,monazite,12.0992,0.0175,0.05735,0.26,Horstwood et al. (2016)
U-Pb,Moacyr,monazite,12.0091,0.0216,0.0613,3.8,Horstwood et al. (2016)
U-Pb,Ontario2,titanite,5.3362,0.0176,0.1187,1.9,Horstwood et al. (2016)
Re-Os,QMolyHill,molybdenite,2624,2.5,0,0,Tamblyn et al. (2024)
U-Pb,NIST610,glass,3.873579,0.0001,0.9097788,0.0001,Woodhead and Hergt (2001)
U-Pb,NIST612,glass,3.459342,0.0001,0.9073359,0.0001,Woodhead and Hergt (2001)
U-Pb,NIST614,glass,1.23498,0.0001,0.8710256,0.0001,Woodhead and Hergt (2001)
Rb-Sr,NIST610,glass,3.368469,0.0001,1.4090481,0.0001,Woodhead and Hergt (2001)
Rb-Sr,NIST612,glass,1.635059,0.0001,1.4103119,0.0001,Woodhead and Hergt (2001)
Rb-Sr,NIST614,glass,0.076282,0.0001,1.4117056,0.0001,Woodhead and Hergt (2001)
Sm-Nd,NIST610,glass,1.244807,0.0001,1.9534035,0.0001,Woodhead and Hergt (2001)
Sm-Nd,NIST612,glass,1.254825,0.0001,1.9533921,0.0001,Woodhead and Hergt (2001)
Sm-Nd,NIST614,glass,1.184762,0.0001,1.9534302,0.0001,Woodhead and Hergt (2001)
Lu-Hf,NIST610,glass,7.2510,0.0040,3.544566,0.000057,Nebel et al. (2009)
Lu-Hf,NIST612,glass,7.430,0.030,3.544842,0.000094,Nebel et al. (2009)